Age,Profession,Sex,Province,S_Occasion,C_Occasion,C_Frequency,S_Frequency,S_Screentime,S_Time(weekday),S_Time(weekend),S_Usage(festival),row_id,Cluster_ID
23-29ปี,พนักงานบริษัทเอกชน,ชาย,กรุงเทพมหานคร,Instagram,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,5-6 ครั้ง/อาทิตย์,5-6 ชม./วัน,"05.00-8.59น., 18.00-21.59น., 22.01-4.59น.","05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,0,-1
23-29ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,LINE,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,มากกว่า 6 ชม./วัน,"18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,1,1
23-29ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,LINE,ดื่มให้ไม่ง่วงในวันที่ทำงานดึก,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,3-4 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้น้อยกว่าปกติ,2,0
30-39ปี,ฟรีแลนซ์/อาชีพอิสระ,ชาย,กรุงเทพมหานคร,LINE,ไม่ดื่มกาแฟ Ready to drink เลย,แคปซูลกาแฟ,ทุกวัน,5-6 ชม./วัน,18.00-21.59น.,18.00-21.59น.,ใช้เท่าเดิม,3,1
23-29ปี,พนักงานบริษัทเอกชน,ชาย,กรุงเทพมหานคร,Facebook,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,3-4 ชม./วัน,"9.00-17.59น., 18.00-21.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,4,1
23-29ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,LINE,ดื่มให้ไม่ง่วงในวันที่ทำงานดึก,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,3-4 ชม./วัน,"18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,5,2
30-39ปี,ธุรกิจส่วนตัว,ชาย,กรุงเทพมหานคร,Facebook,ไม่ดื่มกาแฟ,0,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,6,2
23-29ปี,ว่างงาน,ชาย,ลพบุรี,Facebook,ไม่ดื่มกาแฟ,0,3-4 ครั้ง/อาทิตย์,1-2 ชม./วัน,18.00-21.59น.,18.00-21.59น.,ใช้เท่าเดิม,7,2
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,LINE,ไม่ดื่มกาแฟ,0,ทุกวัน,มากกว่า 6 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,8,2
23-29ปี,พนักงานบริษัทเอกชน,หญิง,นนทบุรี,TikTok,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,5-6 ครั้ง/อาทิตย์,5-6 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,9,0
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Facebook,ไม่ดื่มกาแฟ,0,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,10,2
23-29ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Instagram,ไม่ดื่มกาแฟ Ready to drink เลย,แคปซูลกาแฟ,ทุกวัน,มากกว่า 6 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,11,0
30-39ปี,ฟรีแลนซ์/อาชีพอิสระ,หญิง,ปทุมธานี,Instagram,ไม่ดื่มกาแฟ,0,ทุกวัน,1-2 ชม./วัน,"05.00-8.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้น้อยกว่าปกติ,12,2
23-29ปี,ธุรกิจส่วนตัว,ชาย,เชียงใหม่,Instagram,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,13,0
23-29ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,LINE,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, เล่นเกม, ดูบอล",แคปซูลกาแฟ,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,14,1
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Facebook,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,มากกว่า 6 ชม./วัน,9.00-17.59น.,9.00-17.59น.,ใช้เท่าเดิม,15,1
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Facebook,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,5-6 ครั้ง/อาทิตย์,5-6 ชม./วัน,"9.00-17.59น., 18.00-21.59น.","9.00-17.59น., 18.00-21.59น.",ใช้น้อยกว่าปกติ,16,1
30-39ปี,พนักงานบริษัทเอกชน,หญิง,ร้อยเอ็ด,Instagram,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,มากกว่า 6 ชม./วัน,05.00-8.59น.,05.00-8.59น.,ใช้เท่าเดิม,17,2
40-49ปี,พนักงานมหาวิทยาลัย,หญิง,นนทบุรี,LINE,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,1-2 ชม./วัน,18.00-21.59น.,9.00-17.59น.,ใช้มากกว่าปกติ,18,1
30-39ปี,ธุรกิจส่วนตัว,ชาย,กรุงเทพมหานคร,LINE,ไม่ดื่มกาแฟ,0,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,19,2
30-39ปี,ธุรกิจส่วนตัว,ชาย,กรุงเทพมหานคร,LINE,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,5-6 ชม./วัน,18.00-21.59น.,9.00-17.59น.,ใช้มากกว่าปกติ,20,1
23-29ปี,ธุรกิจส่วนตัว,หญิง,กรุงเทพมหานคร,Facebook,"ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้, ดื่มก่อนไปปาร์ตี้กับเพื่อน",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น.","9.00-17.59น., 18.00-21.59น.",ใช้น้อยกว่าปกติ,21,1
23-29ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Twitter,ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,22,1
23-29ปี,ธุรกิจส่วนตัว,ชาย,กรุงเทพมหานคร,Facebook,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้",แคปซูลกาแฟ,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น.","9.00-17.59น., 18.00-21.59น.",ใช้เท่าเดิม,23,1
30-39ปี,ธุรกิจส่วนตัว,ชาย,กรุงเทพมหานคร,Facebook,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,1-2 ชม./วัน,"9.00-17.59น., 18.00-21.59น.","9.00-17.59น., 18.00-21.59น.",ใช้เท่าเดิม,24,1
