C_Occasion,C_Fresh_Taste,C_Intense,C_Smooth,C_Acidic,C_Aroma,C_Alert,C_Origin,C_Portable,C_Value,C_Nutrition,C_Brand_Trust,C_Premium_Look,T_Occasion,T_Aroma,T_Intense,T_No_Sugar,T_Zero_Cal,T_Nutrition,T_Origin,T_Brew_Method,T_Portable,T_Brand_Trust,T_Premium_Look
ไม่ดื่มกาแฟ Ready to drink เลย,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
ไม่ดื่มกาแฟ Ready to drink เลย,5.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,ดื่มให้ตื่นตัวในตอนเช้า,4.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0
ดื่มให้ไม่ง่วงในวันที่ทำงานดึก,1.0,1.0,5.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า,4.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0
ไม่ดื่มกาแฟ Ready to drink เลย,5.0,5.0,5.0,1.0,5.0,3.0,2.0,3.0,1.0,3.0,4.0,4.0,ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า,5.0,5.0,5.0,5.0,3.0,2.0,2.0,3.0,3.0,4.0
ดื่มให้ไม่ง่วงในวันที่ทำงานดึก,4.0,4.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน",4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0
ไม่ดื่มกาแฟ Ready to drink เลย,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,5.0,5.0,5.0,1.0,5.0,3.0,3.0,3.0,3.0,3.0
,,,,,,,,,,,,,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, เพราะอร่อย หวาน เหมือนกินน้ำหวาน",4.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0
,,,,,,,,,,,,,ดื่มระหว่างเดินทาง/ขับรถ,5.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0
,,,,,,,,,,,,,"ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0
ไม่ดื่มกาแฟ Ready to drink เลย,5.0,3.0,5.0,4.0,5.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,,,,,,,,,,,
